|6.6.6
inf_a/graphite/build/PT_inf_graphite50_1.tab                                                        
           1
n,alqt. 
   2.1219957929415349E-314
   2.1219957929415349E-314
   391119536
           3
n,alqt.        node#          mu[O2],J/mol  
  0.00000        1.00000       -358466.     
 0.100000        2.00000       -358466.     
 0.200000        3.00000       -358466.     
 0.300000        4.00000       -358466.     
 0.400000        5.00000       -358466.     
 0.500000        6.00000       -358466.     
 0.600000        7.00000       -358466.     
 0.700000        8.00000       -358466.     
 0.800000        9.00000       -358466.     
 0.900000        10.0000       -358466.     
  1.00000        11.0000       -358466.     
  1.10000        12.0000       -358466.     
  1.20000        13.0000       -358466.     
  1.30000        14.0000       -358466.     
  1.40000        15.0000       -358466.     
  1.50000        16.0000       -358466.     
  1.60000        17.0000       -358466.     
  1.70000        18.0000       -358466.     
  1.80000        19.0000       -358466.     
  1.90000        20.0000       -358466.     
  2.00000        21.0000       -358466.     
  2.10000        22.0000       -358466.     
  2.20000        23.0000       -358466.     
  2.30000        24.0000       -358466.     
  2.40000        25.0000       -358466.     
  2.50000        26.0000       -358466.     
  2.60000        27.0000       -358466.     
  2.70000        28.0000       -358466.     
  2.80000        29.0000       -358466.     
  2.90000        30.0000       -358466.     
  3.00000        31.0000       -358466.     
  3.10000        32.0000       -358466.     
  3.20000        33.0000       -358466.     
  3.30000        34.0000       -358466.     
  3.40000        35.0000       -358466.     
  3.50000        36.0000       -358466.     
  3.60000        37.0000       -358466.     
  3.70000        38.0000       -358466.     
  3.80000        39.0000       -358466.     
  3.90000        40.0000       -358466.     
  4.00000        41.0000       -358466.     
  4.10000        42.0000       -358466.     
  4.20000        43.0000       -358466.     
  4.30000        44.0000       -358466.     
  4.40000        45.0000       -358466.     
  4.50000        46.0000       -358466.     
  4.60000        47.0000       -358615.     
  4.70000        48.0000       -358615.     
  4.80000        49.0000       -358828.     
  4.90000        50.0000       -358828.     
  5.00000        51.0000       -358997.     
  5.10000        52.0000       -359131.     
  5.20000        53.0000       -359214.     
  5.30000        54.0000       -359214.     
  5.40000        55.0000       -359214.     
  5.50000        56.0000       -359369.     
  5.60000        57.0000       -359541.     
  5.70000        58.0000       -359596.     
  5.80000        59.0000       -359596.     
  5.90000        60.0000       -359636.     
  6.00000        61.0000       -359692.     
  6.10000        62.0000       -359874.     
  6.20000        63.0000       -359971.     
  6.30000        64.0000       -359971.     
  6.40000        65.0000       -360132.     
  6.50000        66.0000       -360132.     
  6.60000        67.0000       -360132.     
  6.70000        68.0000       -360341.     
  6.80000        69.0000       -360341.     
  6.90000        70.0000       -360370.     
  7.00000        71.0000       -360439.     
  7.10000        72.0000       -360619.     
  7.20000        73.0000       -360638.     
  7.30000        74.0000       -360706.     
  7.40000        75.0000       -360706.     
  7.50000        76.0000       -360754.     
  7.60000        77.0000       -361032.     
  7.70000        78.0000       -361066.     
  7.80000        79.0000       -361066.     
  7.90000        80.0000       -361096.     
  8.00000        81.0000       -361421.     
  8.10000        82.0000       -361566.     
  8.20000        83.0000       -361566.     
  8.30000        84.0000       -361772.     
  8.40000        85.0000       -361772.     
  8.50000        86.0000       -362026.     
  8.60000        87.0000       -362707.     
  8.70000        88.0000       -363055.     
  8.80000        89.0000       -363308.     
  8.90000        90.0000       -363369.     
  9.00000        91.0000       -363901.     
  9.10000        92.0000       -364125.     
  9.20000        93.0000       -364488.     
  9.30000        94.0000       -364870.     
  9.40000        95.0000       -365068.     
  9.50000        96.0000       -365582.     
  9.60000        97.0000       -365640.     
  9.70000        98.0000       -366149.     
  9.80000        99.0000       -366207.     
  9.90000        100.000       -366440.     
  10.0000        101.000       -366766.     
  10.1000        102.000       -367150.     
  10.2000        103.000       -367348.     
  10.3000        104.000       -367867.     
  10.4000        105.000       -367931.     
  10.5000        106.000       -368319.     
  10.6000        107.000       -368486.     
  10.7000        108.000       -368702.     
  10.8000        109.000       -369049.     
  10.9000        110.000       -369402.     
  11.0000        111.000       -369578.     
  11.1000        112.000       -370031.     
  11.2000        113.000       -370156.     
  11.3000        114.000       -370408.     
  11.4000        115.000       -370700.     
  11.5000        116.000       -370881.     
  11.6000        117.000       -371265.     
  11.7000        118.000       -371584.     
  11.8000        119.000       -370553.     
  11.9000        120.000       -372277.     
  12.0000        121.000       -372404.     
  12.1000        122.000       -372551.     
  12.2000        123.000       -372749.     
  12.3000        124.000       -372749.     
  12.4000        125.000       -372744.     
  12.5000        126.000       -372744.     
  12.6000        127.000       -372744.     
  12.7000        128.000       -372744.     
  12.8000        129.000       -372744.     
  12.9000        130.000       -372744.     
  13.0000        131.000       -372744.     
  13.1000        132.000       -372744.     
  13.2000        133.000       -372744.     
  13.3000        134.000       -372744.     
  13.4000        135.000       -372751.     
