|6.6.6
inf_a/graphite/build/PT_inf_graphite52_1.tab                                                        
           1
n,alqt. 
   2.1219957929415349E-314
   2.1219957929415349E-314
 -1160771312
           3
n,alqt.        node#          mu[O2],J/mol  
  0.00000        1.00000       -358796.     
 0.100000        2.00000       -358796.     
 0.200000        3.00000       -358796.     
 0.300000        4.00000       -358796.     
 0.400000        5.00000       -358796.     
 0.500000        6.00000       -358796.     
 0.600000        7.00000       -358796.     
 0.700000        8.00000       -358796.     
 0.800000        9.00000       -358796.     
 0.900000        10.0000       -358796.     
  1.00000        11.0000       -358796.     
  1.10000        12.0000       -358796.     
  1.20000        13.0000       -358796.     
  1.30000        14.0000       -358796.     
  1.40000        15.0000       -358796.     
  1.50000        16.0000       -358796.     
  1.60000        17.0000       -358796.     
  1.70000        18.0000       -358796.     
  1.80000        19.0000       -358796.     
  1.90000        20.0000       -358796.     
  2.00000        21.0000       -358796.     
  2.10000        22.0000       -358796.     
  2.20000        23.0000       -358796.     
  2.30000        24.0000       -358796.     
  2.40000        25.0000       -358796.     
  2.50000        26.0000       -358796.     
  2.60000        27.0000       -358796.     
  2.70000        28.0000       -358796.     
  2.80000        29.0000       -358796.     
  2.90000        30.0000       -358796.     
  3.00000        31.0000       -358796.     
  3.10000        32.0000       -358796.     
  3.20000        33.0000       -358796.     
  3.30000        34.0000       -358796.     
  3.40000        35.0000       -358796.     
  3.50000        36.0000       -358796.     
  3.60000        37.0000       -358796.     
  3.70000        38.0000       -358796.     
  3.80000        39.0000       -358796.     
  3.90000        40.0000       -358796.     
  4.00000        41.0000       -358796.     
  4.10000        42.0000       -358796.     
  4.20000        43.0000       -358796.     
  4.30000        44.0000       -358796.     
  4.40000        45.0000       -358796.     
  4.50000        46.0000       -358796.     
  4.60000        47.0000       -358796.     
  4.70000        48.0000       -358796.     
  4.80000        49.0000       -359032.     
  4.90000        50.0000       -359073.     
  5.00000        51.0000       -359127.     
  5.10000        52.0000       -359127.     
  5.20000        53.0000       -359521.     
  5.30000        54.0000       -359521.     
  5.40000        55.0000       -359550.     
  5.50000        56.0000       -359860.     
  5.60000        57.0000       -359910.     
  5.70000        58.0000       -359910.     
  5.80000        59.0000       -360058.     
  5.90000        60.0000       -360292.     
  6.00000        61.0000       -360292.     
  6.10000        62.0000       -360557.     
  6.20000        63.0000       -359910.     
  6.30000        64.0000       -359986.     
  6.40000        65.0000       -360058.     
  6.50000        66.0000       -360058.     
  6.60000        67.0000       -360292.     
  6.70000        68.0000       -360292.     
  6.80000        69.0000       -360292.     
  6.90000        70.0000       -360292.     
  7.00000        71.0000       -360314.     
  7.10000        72.0000       -360557.     
  7.20000        73.0000       -360557.     
  7.30000        74.0000       -360669.     
  7.40000        75.0000       -360691.     
  7.50000        76.0000       -360810.     
  7.60000        77.0000       -361041.     
  7.70000        78.0000       -361041.     
  7.80000        79.0000       -361046.     
  7.90000        80.0000       -361165.     
  8.00000        81.0000       -361408.     
  8.10000        82.0000       -361408.     
  8.20000        83.0000       -361408.     
  8.30000        84.0000       -361408.     
  8.40000        85.0000       -361408.     
  8.50000        86.0000       -361526.     
  8.60000        87.0000       -361647.     
  8.70000        88.0000       -362008.     
  8.80000        89.0000       -362380.     
  8.90000        90.0000       -362603.     
  9.00000        91.0000       -363165.     
  9.10000        92.0000       -363220.     
  9.20000        93.0000       -363251.     
  9.30000        94.0000       -363830.     
  9.40000        95.0000       -363997.     
  9.50000        96.0000       -364403.     
  9.60000        97.0000       -364462.     
  9.70000        98.0000       -364998.     
  9.80000        99.0000       -365057.     
  9.90000        100.000       -365533.     
  10.0000        101.000       -365645.     
  10.1000        102.000       -366167.     
  10.2000        103.000       -366327.     
  10.3000        104.000       -366538.     
  10.4000        105.000       -366800.     
  10.5000        106.000       -367109.     
  10.6000        107.000       -367396.     
  10.7000        108.000       -367626.     
  10.8000        109.000       -367957.     
  10.9000        110.000       -368013.     
  11.0000        111.000       -368539.     
  11.1000        112.000       -368667.     
  11.2000        113.000       -369115.     
  11.3000        114.000       -369386.     
  11.4000        115.000       -369685.     
  11.5000        116.000       -369740.     
  11.6000        117.000       -370178.     
  11.7000        118.000       -370330.     
  11.8000        119.000       -370794.     
  11.9000        120.000       -370914.     
  12.0000        121.000       -371012.     
  12.1000        122.000       -371490.     
  12.2000        123.000       -371726.     
  12.3000        124.000       -372061.     
  12.4000        125.000       -372114.     
  12.5000        126.000       -372624.     
  12.6000        127.000       -372729.     
  12.7000        128.000       -373208.     
  12.8000        129.000       -373306.     
  12.9000        130.000       -373785.     
  13.0000        131.000       -373862.     
  13.1000        132.000       -374209.     
  13.2000        133.000       -374406.     
  13.3000        134.000       -374742.     
  13.4000        135.000       -375067.     
  13.5000        136.000       -375067.     
  13.6000        137.000       -375070.     
  13.7000        138.000       -375070.     
  13.8000        139.000       -375073.     
  13.9000        140.000       -375073.     
  14.0000        141.000       -375073.     
  14.1000        142.000       -375073.     
  14.2000        143.000       -375073.     
  14.3000        144.000       -375073.     
  14.4000        145.000       -375073.     
  14.5000        146.000       -375073.     
  14.6000        147.000       -375073.     
  14.7000        148.000       -375073.     
  14.8000        149.000       -375081.     
  14.9000        150.000       -375081.     
  15.0000        151.000       -375081.     
  15.1000        152.000       -375081.     
  15.2000        153.000       -375081.     
  15.3000        154.000       -375081.     
  15.4000        155.000       -375081.     
  15.5000        156.000       -375081.     
  15.6000        157.000       -375081.     
  15.7000        158.000       -375081.     
  15.8000        159.000       -375081.     
  15.9000        160.000       -375081.     
  16.0000        161.000       -375081.     
  16.1000        162.000       -375081.     
  16.2000        163.000       -375073.     
  16.3000        164.000       -375073.     
  16.4000        165.000       -375073.     
  16.5000        166.000       -375073.     
  16.6000        167.000       -375075.     
  16.7000        168.000       -375075.     
  16.8000        169.000       -375075.     
  16.9000        170.000       -375081.     
  17.0000        171.000       -375081.     
  17.1000        172.000       -375081.     
  17.2000        173.000       -375081.     
  17.3000        174.000       -375073.     
  17.4000        175.000       -375073.     
  17.5000        176.000       -375073.     
  17.6000        177.000       -375073.     
  17.7000        178.000       -375073.     
  17.8000        179.000       -375073.     
  17.9000        180.000       -375073.     
  18.0000        181.000       -375073.     
  18.1000        182.000       -375073.     
  18.2000        183.000       -375073.     
  18.3000        184.000       -375074.     
  18.4000        185.000       -375067.     
  18.5000        186.000       -375067.     
  18.6000        187.000       -375575.     
