|6.6.6
inf_a/graphite/build/PT_inf_graphite12_1.tab                                                        
           1
n,alqt. 
   2.1219957929415349E-314
   2.1219957929415349E-314
  -379582768
           3
n,alqt.        node#          mu[O2],J/mol  
  0.00000        1.00000       -358701.     
 0.100000        2.00000       -358701.     
 0.200000        3.00000       -358701.     
 0.300000        4.00000       -358701.     
 0.400000        5.00000       -358701.     
 0.500000        6.00000       -358701.     
 0.600000        7.00000       -358701.     
 0.700000        8.00000       -358701.     
 0.800000        9.00000       -358701.     
 0.900000        10.0000       -358701.     
  1.00000        11.0000       -358701.     
  1.10000        12.0000       -358701.     
  1.20000        13.0000       -358701.     
  1.30000        14.0000       -358701.     
  1.40000        15.0000       -358701.     
  1.50000        16.0000       -358701.     
  1.60000        17.0000       -358701.     
  1.70000        18.0000       -358701.     
  1.80000        19.0000       -358701.     
  1.90000        20.0000       -358701.     
  2.00000        21.0000       -358701.     
  2.10000        22.0000       -358701.     
  2.20000        23.0000       -358701.     
  2.30000        24.0000       -358701.     
  2.40000        25.0000       -358701.     
  2.50000        26.0000       -358701.     
  2.60000        27.0000       -358701.     
  2.70000        28.0000       -358701.     
  2.80000        29.0000       -358701.     
  2.90000        30.0000       -358701.     
  3.00000        31.0000       -358701.     
  3.10000        32.0000       -358701.     
  3.20000        33.0000       -358701.     
  3.30000        34.0000       -358701.     
  3.40000        35.0000       -358701.     
  3.50000        36.0000       -358701.     
  3.60000        37.0000       -358701.     
  3.70000        38.0000       -358701.     
  3.80000        39.0000       -358701.     
  3.90000        40.0000       -358701.     
  4.00000        41.0000       -358701.     
  4.10000        42.0000       -358701.     
  4.20000        43.0000       -358701.     
  4.30000        44.0000       -358770.     
  4.40000        45.0000       -358701.     
  4.50000        46.0000       -358822.     
  4.60000        47.0000       -359040.     
  4.70000        48.0000       -359057.     
  4.80000        49.0000       -359276.     
  4.90000        50.0000       -359450.     
  5.00000        51.0000       -359438.     
  5.10000        52.0000       -359517.     
  5.20000        53.0000       -359544.     
  5.30000        54.0000       -359735.     
  5.40000        55.0000       -359813.     
  5.50000        56.0000       -359850.     
  5.60000        57.0000       -360040.     
  5.70000        58.0000       -360040.     
  5.80000        59.0000       -360183.     
  5.90000        60.0000       -360194.     
  6.00000        61.0000       -360526.     
  6.10000        62.0000       -360526.     
  6.20000        63.0000       -360526.     
  6.30000        64.0000       -360547.     
  6.40000        65.0000       -360547.     
  6.50000        66.0000       -360907.     
  6.60000        67.0000       -360907.     
  6.70000        68.0000       -361003.     
  6.80000        69.0000       -361261.     
  6.90000        70.0000       -361261.     
  7.00000        71.0000       -361471.     
  7.10000        72.0000       -361611.     
  7.20000        73.0000       -361611.     
  7.30000        74.0000       -361931.     
  7.40000        75.0000       -361956.     
  7.50000        76.0000       -362131.     
  7.60000        77.0000       -362448.     
  7.70000        78.0000       -362899.     
  7.80000        79.0000       -363048.     
  7.90000        80.0000       -363611.     
  8.00000        81.0000       -363798.     
  8.10000        82.0000       -364197.     
  8.20000        83.0000       -364691.     
  8.30000        84.0000       -364774.     
  8.40000        85.0000       -365305.     
  8.50000        86.0000       -365467.     
  8.60000        87.0000       -365890.     
  8.70000        88.0000       -365937.     
  8.80000        89.0000       -366467.     
  8.90000        90.0000       -366910.     
  9.00000        91.0000       -367042.     
  9.10000        92.0000       -367560.     
  9.20000        93.0000       -367711.     
