|6.6.6
inf_a/gloss/build/PT_inf_gloss55_1.tab                                                              
           1
n,alqt. 
   2.1219957929415349E-314
   2.1219957929415349E-314
  1867515488
           3
n,alqt.        node#          mu[O2],J/mol  
  0.00000        1.00000       -355838.     
 0.100000        2.00000       -355916.     
 0.200000        3.00000       -355916.     
 0.300000        4.00000       -355916.     
 0.400000        5.00000       -356251.     
 0.500000        6.00000       -356251.     
 0.600000        7.00000       -356251.     
 0.700000        8.00000       -356251.     
 0.800000        9.00000       -356251.     
 0.900000        10.0000       -356251.     
  1.00000        11.0000       -356251.     
  1.10000        12.0000       -356251.     
  1.20000        13.0000       -356251.     
  1.30000        14.0000       -356247.     
  1.40000        15.0000       -356247.     
  1.50000        16.0000       -356247.     
  1.60000        17.0000       -356247.     
  1.70000        18.0000       -356247.     
  1.80000        19.0000       -356247.     
  1.90000        20.0000       -356247.     
  2.00000        21.0000       -356247.     
  2.10000        22.0000       -356247.     
  2.20000        23.0000       -356247.     
  2.30000        24.0000       -356247.     
  2.40000        25.0000       -356247.     
  2.50000        26.0000       -356247.     
  2.60000        27.0000       -356247.     
  2.70000        28.0000       -356247.     
  2.80000        29.0000       -356247.     
  2.90000        30.0000       -356247.     
  3.00000        31.0000       -356247.     
  3.10000        32.0000       -356247.     
  3.20000        33.0000       -356247.     
  3.30000        34.0000       -356247.     
  3.40000        35.0000       -356247.     
  3.50000        36.0000       -356247.     
  3.60000        37.0000       -356247.     
  3.70000        38.0000       -356247.     
  3.80000        39.0000       -356247.     
  3.90000        40.0000       -356247.     
  4.00000        41.0000       -356247.     
  4.10000        42.0000       -356247.     
  4.20000        43.0000       -356247.     
  4.30000        44.0000       -356247.     
  4.40000        45.0000       -356247.     
  4.50000        46.0000       -356247.     
  4.60000        47.0000       -356247.     
  4.70000        48.0000       -356247.     
  4.80000        49.0000       -356247.     
  4.90000        50.0000       -356242.     
  5.00000        51.0000       -356242.     
  5.10000        52.0000       -356242.     
  5.20000        53.0000       -356242.     
  5.30000        54.0000       -356242.     
  5.40000        55.0000       -356242.     
  5.50000        56.0000       -356242.     
  5.60000        57.0000       -356242.     
  5.70000        58.0000       -356242.     
